logid,runid,dataset,num_neurons,num_epochs,learning_rate,loss_coefficient,batch_size,batch_dur_idx,batch_range_idx,lambda,rel_tol,abs_tol,val_freq,mert_batch,loss_function,regularization,optimizer,Frechet_distance,inference_time,training_time
157,79,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,21.81174784506455,0.0518618747591972,0.9633231251500548
158,80,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,56.3337669373608,0.0461934166960418,0.4862088761292398
159,80,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,19.11943090358184,0.0484913340769708,0.9436025437898934
160,81,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,58.80161644286451,0.0465662921778857,0.4949258342385292
161,81,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,22.51179818527938,0.0551441670395433,1.0155078750103712
162,82,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,17.4056972333578,0.0413809581659734,0.4905540407635271
163,82,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,25.536881693213203,0.0469359159469604,0.9611149155534804
164,83,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,29.97931249400936,0.0457939594052732,0.5066471667960286
165,83,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,49.71229715761694,0.0478693330660462,1.0605374164879322
166,84,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,59.63748470742495,0.0410033748485147,0.4391007078811526
167,84,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,20.48625613229821,0.0546656250953674,0.9074373338371516
168,85,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,26.08185439084192,0.042033249977976,0.4318408751860261
